"@timestamp","host.name","suricata.eve.flow_id","source.ip","source.port","destination.ip","destination.port","source.geo.country_iso_code","destination.geo.country_iso_code"
"Oct 28, 2022 @ 14:25:18.308",soniot3,1330047339825543,"192.168.28.15",32820,"192.168.28.53",5601,"-","-"
"Oct 28, 2022 @ 14:25:10.027",soniot3,1278331680893974,"192.168.28.15",36324,"192.168.28.53",5601,"-","-"
"Oct 28, 2022 @ 14:25:04.429",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:25:02.416",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:25:00.413",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:24:39.382",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:24:24.358",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:23:54.300",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:23:53.298",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:23:44.283",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:23:37.282",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:23:37.281",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:23:36.265",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:23:35.246",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:23:34.238",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:23:34.237",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:23:33.229",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:23:33.226",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:23:31.221",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:23:28.214",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:23:28.206",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:23:19.189",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:23:16.181",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:23:13.170",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:23:12.145",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:23:04.116",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:23:03.113",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:22:57.084",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:22:54.072",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:22:48.052",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:22:48.052",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:22:46.046",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:22:40.028",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:22:33.017",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:22:33.015",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:22:30.009",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:22:26.995",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:22:25.990",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:22:23.980",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:22:22.976",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:22:15.949",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
